BRU GREEN LABEL 100G,BEVERAGES,HINDUSTAN,GST 5%,21.45,22.52,25,100,94,SHEETS,4,SRI BALAJI TRADING COMPANY,9019020,0
BRU GREEN LABEL 200G,BEVERAGES,HINDUSTAN,GST 5%,51.48,54.05,60,58,55,NOS,1,SRI BALAJI TRADING COMPANY,9019020,0
BRU GREEN LABEL 500G,BEVERAGES,HINDUSTAN,GST 5%,132.99,139.64,155,150,145,NOS,1,SRI BALAJI TRADING COMPANY,9019020,0
BRU INS 10/-,BEVERAGES,HINDUSTAN,GST 18%,7.43,8.77,10,120,108,SHEETS,12,SRI BALAJI TRADING COMPANY,21011120,0
BRU INS 2/-,BEVERAGES,HINDUSTAN,GST 18%,1.49,1.76,2,48,21.6,SHEETS,1,SRI BALAJI TRADING COMPANY,21011120,0
BRU INS 3/-,BEVERAGES,HINDUSTAN,GST 18%,2.4,2.83,3,72,69.6,SHEETS,1,SRI BALAJI TRADING COMPANY,21011120,0
BRU INS 5/-,BEVERAGES,HINDUSTAN,GST 18%,3.72,4.39,5,75,69,SHEETS,15,SRI BALAJI TRADING COMPANY,21011120,0
BRU INSTANT SUPER STRONG 200G,BEVERAGES,HINDUSTAN,GST 18%,123.49,145.72,153,153,150,SHEETS,3,SRI BALAJI TRADING COMPANY,2101112,0
BRU TRIPTI SUPER STRONG 200G,BEVERAGES,HINDUSTAN,GST 18%,121.87,143.81,151,150,145,SHEETS,3,SRI BALAJI TRADING COMPANY,2101112,0
BULLET JEERA 25KG,HALF BOILED,GENERAL,GST 0%,36.4,36.4,1200,950,930,KGS,25,EASHWAR ENTERPRISES,1006,0
BULLET JEERA NEW 25KG,HALF BOILED,GENERAL,GST 0%,36,36,1800,980,960,BAG,25,MANI BAJI SHOP,1006,0
BUTTER 500GM,GENERAL,GENERAL,GST 0%,270,270,300,300,290,NOS,1,,,0
CANDEL 10/-,GENERAL,GENERAL,GST 12%,6,6.72,10,90,80,BUNDAL,10,MANI BAJI SHOP,3406,0
CANDEL 2/-,GENERAL,GENERAL,GST 12%,1.15,1.29,2,80,75,BUNDAL,50,MANI BAJI SHOP,3406,0
CANDEL 5/-,GENERAL,GENERAL,GST 12%,3,3.36,5,90,80,BUNDAL,20,MANI BAJI SHOP,3406,0
CAP,GENERAL,GENERAL,GST 0%,60,60,100,80,70,NOS,1,,,0
CARDAMOM,SPICES,GENERAL,GST 18%,2400,2400,0,4900,5100,KGS,1,,9083190,0
CARDAMOM 10/-,10 SHEET,GENERAL,GST 18%,4.5,5.31,10,80,75,SHEETS,10,MANI BAJI SHOP,9083190,0
CARDAMOM 5/-,AMAR,GENERAL,GST 0%,190,190,0,240,230,BUNDAL,60,CASH BILL,910,0
CASHEW 10/-,10 SHEET,GENERAL,GST 0%,5.5,5.5,10,80,75,SHEETS,10,MANI BAJI SHOP,801,0
CASHEW 2PC 1KG,DRY FRUITS,GENERAL,GST 0%,490,490,700,650,600,KGS,1,SAI RAM STORES,802,0
