KSN JAM 200G,JAM,GST 12%,GST 12%,53.24,59.63,65,65,61,NOS,20079990
KSN JAM POUCH 11G,JAM,GST 18%,GST 18%,1.64,1.78,2,2,1.9,SHEETS,20079990
KSN JAM TUB 100G,JAM,GST 12%,GST 12%,16.38,18.35,20,20,19,NOS,20079990
LEMON RICE PWD 25GMS,MIXED RICE,GST 5%,GST 5%,8.02,8.42,10,10,9,SHEETS,09109100
LEMON SALT 500GM,SPICES,GST 0%,GST 0%,65,65,0,80,75,PKT,
LG GATTI ASAFOETIDA 50GM,SPICES,GST 0%,GST 0%,1000,1000,0,1200,1100,BOX,1301
LG PWD ASAFOETIDA 50GM,SPICES,GST 0%,GST 0%,1000,1000,0,1200,1100,BOX,1301
LIFEBUOY LEMON FRESH 125G,SOAP,GST 18%,GST 18%,19.62,23.15,25,25,24,NOS,34011190
LIFEBUOY TOTAL 56G,SOAP,GST 18%,GST 18%,7.73,9.12,10,10,9.5,NOS,34011190
LIRIL LEMON TREE,SOAP,GST 18%,GST 18%,25.11,29.63,34,34,31,NOS,34011190
LUX CREAMY PERFECTION 75,SOAP,GST 18%,GST 18%,23.54,27.78,30,30,28.5,NOS,34011190
LUX ROSE 100G,SOAP,GST 18%,GST 18%,19.62,22.69,25,25,23.5,NOS,34011190
LUX ROSE 50G,SOAP,GST 18%,GST 18%,7.73,9.12,10,10,9.5,NOS,34011190
MACORONI 250GM,DALL,GST 18%,GST 18%,17,20.06,0,20,20,PKT,1902
MAGIX CHOCOLATE,BISCUITS,GST 18%,GST 18%,3.85,4.45,5,60,57,BUNDLE,19059020
MAGIX ELAICHI,BISCUITS,GST 18%,GST 18%,3.85,4.45,5,60,57,BUNDAL,19059020
MAGIX MANGO,BISCUITS,GST 18%,GST 18%,3.85,4.45,5,60,58,BUNDAL,19059020
MAGIX ORANGE,BISCUITS,GST 18%,GST 18%,3.85,4.45,5,60,57,BUNDLE,19059020
MAGIX PINEAPPLE,BISCUITS,GST 18%,GST 18%,3.85,4.45,5,60,57,BUNDLE,19059020
MAGIX STRAWBERRY,BISCUITS,GST 18%,GST 18%,3.85,4.45,5,60,57,BUNDLE,19059020
MAHARISHI 25KG,RAW RICE,GST 0%,GST 0%,1046.24,1046.24,2800,1350,1300,BAG,1006
MARATI MOGGU,SPICES,GST 0%,GST 0%,600,600,0,800,750,KGS,1207
MARIE LGT 10/-,BISCUITS,GST 18%,GST 18%,7.62,8.99,10,10,9.5,NOS,1905
MARIE LGT 5/-,BISCUITS,GST 18%,GST 18%,3.81,4.5,5,60,58,BUNDLE,1905
MASSOR GOLA 50KG,DALL,GST 0%,GST 0%,3350,3350,5800,3500,3450,BAG,0713
MD 12 BOUQUET,POOJA ITEMS,GST 5%,GST 5%,7.94,7.84,10,110,96,BUNDAL,3307 41 00
MD 12 LAVENDER,POOJA ITEMS,GST 5%,GST 5%,7.94,7.84,10,110,96,BUNDAL,3307 41 00
MD 12 MARIGOLD,POOJA ITEMS,GST 5%,GST 5%,7.93,7.83,10,110,96,BUNDAL,3307 41 00
MD 12 SANDAL,POOJA ITEMS,GST 5%,GST 5%,7.94,7.84,10,110,96,BUNDAL,3307 41 00
MD 12 TEMPLE,POOJA ITEMS,GST 5%,GST 5%,7.94,7.84,10,110,96,BUNDAL,3307 41 00
MD 12 TREYA,POOJA ITEMS,GST 5%,GST 5%,7.94,7.84,10,110,96,BUNDAL,3307 41 00
MD HA RAJASTHAN 30KG,DALL,GST 0%,GST 0%,95.33,95.33,110,3300,3250,KGS,0713
MD JASMINE,POOJA ITEMS,GST 5%,GST 5%,3.84,3.7,5,54,48,BUNDAL,3307 41 00
MD KALASA 25,DALL,GST 0%,GST 0%,2350,2350,3500,2750,2500,BAG,0713
MD ROSE,POOJA ITEMS,GST 5%,GST 5%,3.84,3.7,5,54,48,BUNDAL,3307 41 00
MD SADHVI 100,POOJA ITEMS,GST 5%,GST 5%,25.24,25.44,35,180,160,BUNDAL,3307 41 00
MEDIMIX AYU SOAP 125G,SOAP,GST 18%,GST 18%,30.81,34.9,40,40,38,NOS,34011110
MEDIMIX AYU SOAP 20G,SOAP,GST 18%,GST 18%,3.85,4.27,5,5,4.8,JAR,34011110
MEDIMIX AYU SOAP 35G,SOAP,GST 18%,GST 18%,7.71,8.96,10,10,9.5,SHEETS,34011110
MEDIMIX AYU SOAP 4 X 75G,SOAP,GST 18%,GST 18%,60.09,68.07,78,75,73,NOS,34011110
MEDIMIX AYU SOAP 75G,SOAP,GST 18%,GST 18%,20.03,22.69,26,26,24.5,NOS,34011110
MEDIMIX SANDAL SOAP 125G,SOAP,GST 18%,GST 18%,36.21,41.6,47,47,45,NOS,34011110
MEDIMIX SANDAL SOAP 75G,SOAP,GST 18%,GST 18%,23.11,26.52,30,30,28.5,NOS,34011110
MEDIMIX SOAP MULTI 3PIE 125G,SOAP,GST 18%,GST 18%,80.89,91.63,105,105,110,NOS,34011110
MEDIMIX TRANS SOAP 125G,SOAP,GST 18%,GST 18%,36.21,41.23,47,47,45,NOS,34011110
MEDIMIX TRANS SOAP 75G,SOAP,GST 18%,GST 18%,23.11,26.32,30,30,28.5,NOS,34011110
MENTHYALLU 50GM,SPICES,GST 0%,GST 0%,80,80,0,100,90,BUNDAL,1207
MILK SHAKTI 14GM,BISCUITS,GST 18%,GST 18%,6.7,7.91,10,108,102,BUNDLE,19059020
MILK SHAKTI 5/-,BISCUITS,GST 18%,GST 18%,3.78,4.24,5,60,56,BUNDLE,19059020
